Order ID,Date,Channel / Type,Customer,Items Summary,Subtotal (PHP),VAT 12% (PHP),Delivery Fee (PHP),Grand Total (PHP),Payment Method,Payment Status,Order Status,Reference No.
ORD-20250926-04631-66063,2025-09-26 10:06:39,ONLINE,Mark Bautista,Fresh Calamansi Juice Pitcher x1; Seafood Bilao Feast x2,5080.00,609.60,75.00,5764.60,COD,PAID,COMPLETED,TXN-COD-62213288
ORD-20250926-01986-75E7C,2025-09-26 11:43:06,ONLINE,Pedro Penduko,Classic Seafood Paella x1; Seafood Bilao Feast x2; Fresh Calamansi Juice Pitcher x1,6730.00,807.60,60.00,7597.60,HYBRID (Cash + GCash),PAID,COMPLETED,TXN-HYB-64694871
ORD-20250926-04316-C4325,2025-09-26 12:57:07,ONLINE,Ana Reyes,Classic Seafood Paella x2; Crispy Seafood Basket x2,5260.00,631.20,85.00,5976.20,CASH,PAID,COMPLETED,TXN-CAS-69444617
ORD-20250926-01447-90B9C,2025-09-26 13:25:10,ONLINE,Lisa Manoban,Crispy Seafood Basket x1; Fresh Calamansi Juice Pitcher x1; Seafood Cajun Boil x1; Classic Seafood Paella x3,8060.00,967.20,75.00,9102.20,COD,PAID,COMPLETED,TXN-COD-13185457
ORD-20250927-00497-19A88,2025-09-27 21:06:57,ONLINE,Pedro Penduko,Garlic Butter Prawns x1; Grilled Seafood Platter x1,3350.00,402.00,50.00,3802.00,GCASH,PAID,COMPLETED,TXN-GCA-46869484
ORD-20250928-00856-D7257,2025-09-28 13:03:22,ON_SITE,Pedro Penduko,Grilled Seafood Platter x1; Seafood Bilao Feast x2,6900.00,828.00,0.00,7728.00,GCASH,PAID,COMPLETED,TXN-GCA-63745789
ORD-20250928-02571-B1E17,2025-09-28 15:23:56,ON_SITE,Alden Richards,Seafood Cajun Boil x3; Grilled Seafood Platter x2; Crispy Seafood Basket x2,11710.00,1405.20,0.00,13115.20,GCASH,PAID,COMPLETED,TXN-GCA-67016908
ORD-20250928-00532-D2F3B,2025-09-28 19:01:55,ONLINE,Ana Reyes,Grilled Seafood Platter x2; Seafood Bilao Feast x1,6600.00,792.00,100.00,7492.00,MAYA,PAID,COMPLETED,TXN-MAY-19058208
ORD-20250929-04646-322E6,2025-09-29 13:55:12,ON_SITE,Bea Alonzo,Crispy Seafood Basket x2; Fresh Calamansi Juice Pitcher x1,2240.00,268.80,0.00,2508.80,HYBRID (Cash + GCash),PAID,COMPLETED,TXN-HYB-47685728
ORD-20250929-03833-6EA79,2025-09-29 14:52:13,ON_SITE,Ramon Magsaysay Jr.,Fresh Calamansi Juice Pitcher x1,280.00,33.60,0.00,313.60,CASH,PAID,COMPLETED,TXN-CAS-14313011
